Format: <instr address>,<tsc>,<val>
0xffffb7f14018,1272365895966303,1000000091a8
0xffffb7f10e04,1272365896384546,ffffb8dc7740
0xffffb7f14018,1272365896877599,1000000091a8
0xffffb7f10e04,1272365896878193,ffffb8dc7740
0xffffb7f14018,1272365896878592,1000000091a8
0xffffb7f10e04,1272365896879177,ffffb8dc7740
0xffffb7f14018,1272365896898136,1000000091a8
0xffffb7f10e04,1272365896899324,ffffb8dc7740
0xffffb7f14018,1272365896901105,1000000091a8
0xffffb7f10e04,1272365896902735,ffffb8dc7740
0xffffb7f14018,1272365896903114,1000000091a8
0xffffb7f10e04,1272365896903287,ffffb8dc7740
0xffffb7f14018,1272365896908527,1000000091a8
0xffffb7f10e04,1272365896909536,ffffb8dc7740
0xffffb7f14018,1272365896910011,1000000091a8
0xffffb7f10e04,1272365896910318,ffffb8dc7740
0xffffb7f14018,1272365896911403,1000000091a8
0xffffb7f10e04,1272365896912285,ffffb8dc7740
0xffffb7f14018,1272365896914756,1000000091a8
0xffffb7f10e04,1272365896916056,ffffb8dc7740
0xffffb7f14018,1272365896924415,1000000091a8
0xffffb7f10e04,1272365896924914,ffffb8dc7740
0xffffb7f14018,1272365896925633,1000000091a8
0xffffb7f10e04,1272365896926899,ffffb8dc7740
0xffffb7f14018,1272365896927237,1000000091a8
0xffffb7f10e04,1272365896927775,ffffb8dc7740
0xffffb7f14018,1272365896929969,1000000091a8
0xffffb7f10e04,1272365896930159,ffffb8dc7740
0xffffb7f14018,1272365896932748,1000000091a8
0xffffb7f10e04,1272365896933073,ffffb8dc7740
0xffffb7f14018,1272365896935766,1000000091a8
0xffffb7f10e04,1272365896936779,ffffb8dc7740
0xffffb7f14018,1272365896938520,1000000091a8
0xffffb7f10e04,1272365896938707,ffffb8dc7740
0xffffb7f14018,1272365896941631,1000000091a8
0xffffb7f10e04,1272365896941999,ffffb8dc7740
0xffffb7f14018,1272365896943179,1000000091a8
0xffffb7f10e04,1272365896943501,ffffb8dc7740
0xffffb7f14018,1272365896950849,1000000091a8
0xffffb7f10e04,1272365896951316,ffffb8dc7740
0xffffb7f14018,1272365896952070,1000000091a8
0xffffb7f10e04,1272365896952246,ffffb8dc7740
0xffffb7f14018,1272365896954103,1000000091a8
0xffffb7f10e04,1272365896955032,ffffb8dc7740
0xffffb7f14018,1272365896957375,1000000091a8
0xffffb7f10e04,1272365896959548,ffffb8dc7740
0xffffb7f14018,1272365896963808,1000000091a8
0xffffb7efe1a8,1272365898193801,1000000091a8
0xffffb7efe218,1272365898215600,1000000091a8
0xffffb7efe1a8,1272365898277068,1000000091a8
0xffffb7efe218,1272365898299609,1000000091a8
0xffffb7efe1a8,1272365898301572,1000000091a8
0xffffb7efe218,1272365898302007,1000000091a8
0xffffb7efe1a8,1272365898303381,1000000091a8
0xffffb7efe218,1272365898303819,1000000091a8
0xffffb7efe1a8,1272365898304940,1000000091a8
0xffffb7efe218,1272365898305356,1000000091a8
0xffffb7efe1a8,1272365898306449,1000000091a8
0xffffb7efe218,1272365898306845,1000000091a8
0xffffb7efe1a8,1272365898307995,1000000091a8
0xffffb7efe218,1272365898308388,1000000091a8
0xffffb7efe1a8,1272365898309505,1000000091a8
0xffffb7efe218,1272365898309882,1000000091a8
0xffffb7efe1a8,1272365898310946,1000000091a8
0xffffb7efe218,1272365898311324,1000000091a8
0xffffb7efe1a8,1272365898312376,1000000091a8
0xffffb7efe218,1272365898312812,1000000091a8
0xffffb7efe1a8,1272365898313873,1000000091a8
0xffffb7efe218,1272365898314242,1000000091a8
0xffffb7efe1a8,1272365898315291,1000000091a8
0xffffb7efe218,1272365898315676,1000000091a8
0xffffb7efe1a8,1272365898325869,1000000091a8
0xffffb7efe218,1272365898326299,1000000091a8
0xffffb7efe1a8,1272365898337415,1000000091a8
0xffffb7efe218,1272365898337793,1000000091a8
0xffffb7efe1a8,1272365898348730,1000000091a8
0xffffb7efe218,1272365898349106,1000000091a8
0xffffb7efe1a8,1272365898360177,1000000091a8
0xffffb7efe218,1272365898360554,1000000091a8
0xffffb7efe1a8,1272365898371626,1000000091a8
0xffffb7efe218,1272365898372108,1000000091a8
0xffffb7efe1a8,1272365898383052,1000000091a8
0xffffb7efe218,1272365898383441,1000000091a8
0xffffb7efe1a8,1272365898394507,1000000091a8
0xffffb7efe218,1272365898397780,1000000091a8
0xffffb7efe1a8,1272365898406765,1000000091a8
0xffffb7efe218,1272365898407170,1000000091a8
0xffffb7efe1a8,1272365898419119,1000000091a8
0xffffb7efe218,1272365898419526,1000000091a8
0xffffb7efe1a8,1272365898831596,1000000091a8
0xffffb7efe218,1272365898832004,1000000091a8
0xffffb7efe1a8,1272365898844935,1000000091a8
0xffffb7efe218,1272365898845355,1000000091a8
0xffffb7efe1a8,1272365898856571,1000000091a8
0xffffb7efe218,1272365898856990,1000000091a8
0xffffb7efe1a8,1272365898867909,1000000091a8
0xffffb7efe218,1272365898868288,1000000091a8
0xffffb7efe1a8,1272365898879188,1000000091a8
0xffffb7efe218,1272365898879578,1000000091a8
